OX243811.1_t_gene2_mRNA2	OX243811.1_129639-139352
OX243811.1_t_gene212_mRNA296	OX243811.1_10356941-10364348
OX243811.1_t_gene213_mRNA297	OX243811.1_10374903-10383578
OX243811.1_t_gene214_mRNA298	OX243811.1_10383579-10391889
OX243811.1_t_gene216_mRNA300	OX243811.1_10520895-10526033
OX243811.1_t_gene217_mRNA301	OX243811.1_10573986-10579178
OX243811.1_t_gene218_mRNA302	OX243811.1_10579179-10586943
OX243811.1_t_gene220_mRNA304	OX243811.1_10597270-10602115
OX243811.1_t_gene222_mRNA306	OX243811.1_10654705-10660236
OX243811.1_t_gene223_mRNA307	OX243811.1_10672550-10688707
OX243811.1_t_gene225_mRNA311	OX243811.1_10847350-10855509
OX243811.1_t_gene228_mRNA319	OX243811.1_11073371-11081009
OX243811.1_t_gene232_mRNA324	OX243811.1_11517674-11527513
OX243811.1_t_gene234_mRNA326	OX243811.1_11650587-11658999
OX243811.1_t_gene237_mRNA335	OX243811.1_11863662-11867418
OX243811.1_t_gene240_mRNA339	OX243811.1_12053169-12058677
OX243811.1_t_gene242_mRNA342	OX243811.1_12212682-12228645
OX243811.1_t_gene245_mRNA348	OX243811.1_12495172-12500832
OX243811.1_t_gene246_mRNA349	OX243811.1_12556737-12561815
OX243811.1_t_gene249_mRNA352	OX243811.1_12650574-12656909
OX243811.1_t_gene250_mRNA353	OX243811.1_12760519-12766435
OX243811.1_t_gene251_mRNA354	OX243811.1_13068203-13077460
OX243811.1_t_gene255_mRNA359	OX243811.1_13176665-13183549
OX243811.1_t_gene256_mRNA360	OX243811.1_13189671-13196102
OX243811.1_t_gene257_mRNA361	OX243811.1_13251652-13257959
OX243811.1_t_gene261_mRNA365	OX243811.1_13761556-13767783
OX243811.1_t_gene262_mRNA366	OX243811.1_13826113-13832684
OX243811.1_t_gene263_mRNA367	OX243811.1_14152823-14179872
OX243811.1_t_gene266_mRNA371	OX243811.1_14301361-14311847
OX243811.1_t_gene269_mRNA374	OX243811.1_14384477-14393513
OX243811.1_t_gene271_mRNA376	OX243811.1_14462013-14475742
OX243811.1_t_gene273_mRNA378	OX243811.1_14514534-14522752
OX243811.1_t_gene274_mRNA379	OX243811.1_14522753-14533912
OX243811.1_t_gene275_mRNA380	OX243811.1_14564847-14571761
OX243811.1_t_gene276_mRNA381	OX243811.1_14681111-14689171
OX243811.1_t_gene277_mRNA386	OX243811.1_14704809-14713878
OX243811.1_t_gene278_mRNA387	OX243811.1_14873663-14879513
OX243811.1_t_gene279_mRNA388	OX243811.1_14879514-14884155
OX243811.1_t_gene280_mRNA389	OX243811.1_14905384-14912940
OX243811.1_t_gene282_mRNA397	OX243811.1_15173528-15178897
OX243811.1_t_gene284_mRNA399	OX243811.1_15251669-15260830
OX243811.1_t_gene286_mRNA403	OX243811.1_15439292-15449711
OX243811.1_t_gene287_mRNA404	OX243811.1_15543936-15564522
OX243811.1_t_gene289_mRNA406	OX243811.1_15617434-15622251
OX243811.1_t_gene293_mRNA410	OX243811.1_15641486-15647480
OX243811.1_t_gene295_mRNA412	OX243811.1_15686869-15692778
OX243811.1_t_gene296_mRNA413	OX243811.1_15693240-15702327
OX243811.1_t_gene300_mRNA417	OX243811.1_15804944-15811273
OX243811.1_t_gene301_mRNA418	OX243811.1_15822436-15829201
OX243811.1_t_gene303_mRNA420	OX243811.1_15855037-15859974
OX243811.1_t_gene305_mRNA422	OX243811.1_15914004-15934017
OX243811.1_t_gene310_mRNA427	OX243811.1_16215021-16221860
OX243811.1_t_gene313_mRNA430	OX243811.1_16389659-16398450
OX243811.1_t_gene315_mRNA433	OX243811.1_16550041-16557268
OX243811.1_t_gene318_mRNA436	OX243811.1_16653466-16658271
OX243811.1_t_gene319_mRNA437	OX243811.1_16688584-16696926
OX243811.1_t_gene320_mRNA438	OX243811.1_16872069-16879138
OX243811.1_t_gene321_mRNA439	OX243811.1_17059143-17068504
OX243811.1_t_gene323_mRNA441	OX243811.1_17288832-17292870
OX243811.1_t_gene325_mRNA443	OX243811.1_17402497-17410545
OX243811.1_t_gene327_mRNA445	OX243811.1_17488441-17496783
OX243811.1_t_gene328_mRNA447	OX243811.1_17904642-17916452
OX243811.1_t_gene331_mRNA450	OX243811.1_17999861-18008650
OX243811.1_t_gene332_mRNA451	OX243811.1_18050772-18059427
OX243811.1_t_gene333_mRNA452	OX243811.1_18158957-18165427
OX243811.1_t_gene334_mRNA453	OX243811.1_18203842-18210726
OX243811.1_t_gene337_mRNA456	OX243811.1_18517247-18523465
OX243811.1_t_gene338_mRNA457	OX243811.1_18523466-18527710
OX243811.1_t_gene344_mRNA463	OX243811.1_18989828-18994867
OX243811.1_t_gene348_mRNA470	OX243811.1_20030907-20036642
OX243811.1_t_gene349_mRNA471	OX243811.1_20232206-20241844
OX243811.1_t_gene353_mRNA484	OX243811.1_20851155-20860382
OX243811.1_t_gene355_mRNA487	OX243811.1_21007977-21011413
OX243811.1_t_gene357_mRNA489	OX243811.1_21024968-21032771
OX243811.1_t_gene358_mRNA490	OX243811.1_21034934-21041452
OX243811.1_t_gene363_mRNA495	OX243811.1_21291241-21300540
OX243811.1_t_gene364_mRNA496	OX243811.1_21308373-21327942
OX243811.1_t_gene366_mRNA498	OX243811.1_21361217-21368466
OX243811.1_t_gene367_mRNA499	OX243811.1_21423189-21430829
OX243811.1_t_gene371_mRNA503	OX243811.1_21535732-21542427
OX243811.1_t_gene373_mRNA505	OX243811.1_21634362-21675723
OX243811.1_t_gene374_mRNA506	OX243811.1_21712366-21720708
OX243811.1_t_gene379_mRNA512	OX243811.1_22110231-22115255
OX243811.1_t_gene380_mRNA513	OX243811.1_22141492-22152603
OX243811.1_t_gene383_mRNA523	OX243811.1_22270276-22277073
OX243811.1_t_gene384_mRNA524	OX243811.1_22278775-22283863
OX243811.1_t_gene385_mRNA525	OX243811.1_22283864-22289639
OX243811.1_t_gene387_mRNA527	OX243811.1_22371316-22376510
OX243811.1_t_gene388_mRNA532	OX243811.1_22411322-22422083
OX243811.1_t_gene393_mRNA537	OX243811.1_22710575-22720349
OX243811.1_t_gene395_mRNA539	OX243811.1_22734763-22748931
OX243811.1_t_gene409_mRNA553	OX243811.1_23506933-23518088
OX243811.1_t_gene410_mRNA554	OX243811.1_23520400-23527771
OX243811.1_t_gene412_mRNA556	OX243811.1_23558635-23571538
OX243811.1_t_gene414_mRNA558	OX243811.1_23639310-23644631
OX243811.1_t_gene417_mRNA561	OX243811.1_23855680-23872366
OX243811.1_t_gene418_mRNA562	OX243811.1_23935812-23946932
OX243811.1_t_gene419_mRNA563	OX243811.1_23961104-23967049
OX243811.1_t_gene420_mRNA564	OX243811.1_24112283-24117298
OX243811.1_t_gene422_mRNA566	OX243811.1_24190085-24195849
OX243811.1_t_gene428_mRNA577	OX243811.1_24463042-24468761
OX243811.1_t_gene429_mRNA578	OX243811.1_24468762-24472055
OX243811.1_t_gene430_mRNA579	OX243811.1_24472056-24492438
OX243811.1_t_gene431_mRNA580	OX243811.1_24506368-24514505
OX243811.1_t_gene434_mRNA583	OX243811.1_24571962-24583056
OX243811.1_t_gene435_mRNA585	OX243811.1_24588452-24591617
OX243811.1_t_gene436_mRNA586	OX243811.1_24591618-24596331
OX243811.1_t_gene440_mRNA595	OX243811.1_24789660-24829278
OX243811.1_t_gene443_mRNA598	OX243811.1_24996779-25005046
OX243811.1_t_gene444_mRNA603	OX243811.1_25059226-25066512
OX243811.1_t_gene447_mRNA606	OX243811.1_25097566-25104422
OX243811.1_t_gene449_mRNA608	OX243811.1_25244276-25249747
OX243811.1_t_gene450_mRNA609	OX243811.1_25290328-25297728
OX243811.1_t_gene451_mRNA611	OX243811.1_25384164-25404583
OX243811.1_t_gene452_mRNA612	OX243811.1_25486797-25493578
OX243811.1_t_gene455_mRNA617	OX243811.1_25745093-25749783
OX243811.1_t_gene457_mRNA622	OX243811.1_25894582-25904602
OX243811.1_t_gene462_mRNA633	OX243811.1_26169878-26179101
OX243811.1_t_gene464_mRNA635	OX243811.1_26182128-26187542
OX243811.1_t_gene465_mRNA636	OX243811.1_26223369-26231972
OX243811.1_t_gene467_mRNA638	OX243811.1_26263033-26268749
OX243811.1_t_gene468_mRNA639	OX243811.1_26318035-26322927
OX243811.1_t_gene472_mRNA649	OX243811.1_26659155-26663747
OX243811.1_t_gene474_mRNA654	OX243811.1_26699082-26706892
OX243811.1_t_gene477_mRNA659	OX243811.1_26716902-26721382
OX243811.1_t_gene478_mRNA660	OX243811.1_26721701-26726908
OX243811.1_t_gene479_mRNA661	OX243811.1_26741014-26749685
OX243811.1_t_gene480_mRNA662	OX243811.1_26767011-26779493
OX243811.1_t_gene482_mRNA665	OX243811.1_26899002-26908231
OX243811.1_t_gene485_mRNA673	OX243811.1_27099585-27104282
OX243811.1_t_gene488_mRNA680	OX243811.1_27169248-27185387
OX243811.1_t_gene490_mRNA683	OX243811.1_27207145-27216348
OX243811.1_t_gene494_mRNA688	OX243811.1_27460703-27465760
OX243811.1_t_gene500_mRNA694	OX243811.1_27813021-27817854
OX243811.1_t_gene501_mRNA695	OX243811.1_27853298-27861997
OX243811.1_t_gene504_mRNA703	OX243811.1_27922334-27926403
OX243811.1_t_gene505_mRNA704	OX243811.1_27926404-27929841
OX243811.1_t_gene507_mRNA710	OX243811.1_28003209-28008246
OX243811.1_t_gene510_mRNA713	OX243811.1_28216059-28221626
OX243811.1_t_gene511_mRNA714	OX243811.1_28270066-28277729
OX243811.1_t_gene518_mRNA724	OX243811.1_28485377-28492420
OX243811.1_t_gene520_mRNA726	OX243811.1_28555923-28569340
OX243811.1_t_gene521_mRNA727	OX243811.1_28569341-28576933
OX243811.1_t_gene523_mRNA729	OX243811.1_28597912-28602318
OX243811.1_t_gene525_mRNA732	OX243811.1_28913053-28924207
OX243811.1_t_gene530_mRNA738	OX243811.1_29159493-29166228
OX243811.1_t_gene531_mRNA739	OX243811.1_29216553-29220584
OX243811.1_t_gene532_mRNA740	OX243811.1_29220585-29224974
OX243811.1_t_gene533_mRNA741	OX243811.1_29247329-29250226
OX243811.1_t_gene534_mRNA742	OX243811.1_29250227-29253551
OX243811.1_t_gene535_mRNA743	OX243811.1_29271282-29277330
OX243811.1_t_gene536_mRNA744	OX243811.1_29290537-29296681
OX243811.1_t_gene537_mRNA745	OX243811.1_29300785-29305398
OX243811.1_t_gene539_mRNA747	OX243811.1_29517228-29525481
OX243811.1_t_gene542_mRNA752	OX243811.1_29840400-29850981
OX243811.1_t_gene543_mRNA753	OX243811.1_29925905-29932988
OX243811.1_t_gene545_mRNA755	OX243811.1_29937865-29944177
OX243811.1_t_gene548_mRNA758	OX243811.1_29969758-29973474
OX243811.1_t_gene553_mRNA764	OX243811.1_30031257-30039989
OX243811.1_t_gene554_mRNA765	OX243811.1_30051177-30080951
OX243811.1_t_gene555_mRNA766	OX243811.1_30080952-30098246
OX243811.1_t_gene558_mRNA769	OX243811.1_30128437-30134630
OX243811.1_t_gene564_mRNA775	OX243811.1_30559312-30565361
OX243811.1_t_gene568_mRNA779	OX243811.1_30754253-30759874
OX243811.1_t_gene569_mRNA780	OX243811.1_30781685-30787525
OX243811.1_t_gene570_mRNA781	OX243811.1_30832888-30846342
OX243811.1_t_gene572_mRNA783	OX243811.1_31219120-31224987
OX243811.1_t_gene574_mRNA785	OX243811.1_31310617-31318644
OX243811.1_t_gene577_mRNA790	OX243811.1_31499512-31508161
OX243811.1_t_gene578_mRNA791	OX243811.1_31562903-31568032
OX243811.1_t_gene579_mRNA792	OX243811.1_31571945-31587237
OX243811.1_t_gene586_mRNA809	OX243811.1_32139552-32147462
OX243811.1_t_gene588_mRNA812	OX243811.1_32263234-32284206
OX243811.1_t_gene590_mRNA815	OX243811.1_32370912-32380995
OX243811.1_t_gene593_mRNA818	OX243811.1_32451524-32458090
OX243811.1_t_gene594_mRNA819	OX243811.1_32470821-32480666
OX243811.1_t_gene596_mRNA825	OX243811.1_32573214-32579540
OX243811.1_t_gene598_mRNA827	OX243811.1_32596527-32606119
OX243811.1_t_gene599_mRNA828	OX243811.1_32640568-32647932
OX243811.1_t_gene600_mRNA829	OX243811.1_32749898-32753872
OX243811.1_t_gene601_mRNA830	OX243811.1_32753873-32760622
OX243811.1_t_gene602_mRNA832	OX243811.1_32885074-32890809
OX243811.1_t_gene604_mRNA834	OX243811.1_32921543-32928408
OX243811.1_t_gene607_mRNA840	OX243811.1_33051157-33057860
OX243811.1_t_gene608_mRNA841	OX243811.1_33061540-33067431
OX243811.1_t_gene612_mRNA845	OX243811.1_33331241-33341331
OX243811.1_t_gene614_mRNA847	OX243811.1_33502660-33509145
OX243811.1_t_gene616_mRNA849	OX243811.1_33556480-33565719
OX243811.1_t_gene617_mRNA850	OX243811.1_33576854-33582130
OX243811.1_t_gene618_mRNA851	OX243811.1_33722083-33729881
OX243811.1_t_gene620_mRNA861	OX243811.1_33790631-33796036
OX243811.1_t_gene621_mRNA862	OX243811.1_33824957-33832755
OX243811.1_t_gene626_mRNA868	OX243811.1_34112680-34121010
OX243811.1_t_gene629_mRNA871	OX243811.1_34165851-34180826
OX243811.1_t_gene630_mRNA872	OX243811.1_34181712-34187984
OX243811.1_t_gene633_mRNA879	OX243811.1_34292076-34299131
OX243811.1_t_gene635_mRNA881	OX243811.1_34422804-34429392
OX243811.1_t_gene636_mRNA882	OX243811.1_34429538-34435965
OX243811.1_t_gene637_mRNA884	OX243811.1_34435966-34443799
OX243811.1_t_gene639_mRNA886	OX243811.1_34518267-34523850
OX243811.1_t_gene641_mRNA889	OX243811.1_34556722-34562886
OX243811.1_t_gene646_mRNA894	OX243811.1_34715622-34721996
OX243811.1_t_gene647_mRNA895	OX243811.1_34743042-34749716
OX243811.1_t_gene648_mRNA896	OX243811.1_34749717-34757325
OX243811.1_t_gene650_mRNA898	OX243811.1_34791018-34796016
OX243811.1_t_gene652_mRNA900	OX243811.1_34878584-34885158
OX243811.1_t_gene653_mRNA901	OX243811.1_34919838-34925822
OX243811.1_t_gene654_mRNA902	OX243811.1_35004526-35009755
OX243811.1_t_gene655_mRNA903	OX243811.1_35020688-35028491
OX243811.1_t_gene656_mRNA904	OX243811.1_35076527-35082576
OX243811.1_t_gene657_mRNA905	OX243811.1_35104820-35111339
OX243811.1_t_gene660_mRNA908	OX243811.1_35488710-35496248
OX243811.1_t_gene664_mRNA912	OX243811.1_35656043-35665903
OX243811.1_t_gene667_mRNA922	OX243811.1_35880499-35886046
OX243811.1_t_gene668_mRNA923	OX243811.1_35886047-35887737
OX243811.1_t_gene672_mRNA927	OX243811.1_36031866-36036647
OX243811.1_t_gene673_mRNA928	OX243811.1_36074282-36083671
OX243811.1_t_gene675_mRNA930	OX243811.1_36126647-36132274
OX243811.1_t_gene682_mRNA942	OX243811.1_36443240-36448270
OX243811.1_t_gene688_mRNA949	OX243811.1_36856741-36861447
OX243811.1_t_gene698_mRNA960	OX243811.1_37462282-37468847
OX243811.1_t_gene700_mRNA962	OX243811.1_37604957-37615279
OX243811.1_t_gene701_mRNA963	OX243811.1_37889197-37898538
OX243811.1_t_gene702_mRNA965	OX243811.1_37937682-37947946
OX243811.1_t_gene703_mRNA966	OX243811.1_38091492-38125474
OX243811.1_t_gene704_mRNA967	OX243811.1_38204045-38214107
OX243811.1_t_gene706_mRNA969	OX243811.1_38455459-38461104
OX243811.1_t_gene708_mRNA971	OX243811.1_38561513-38567982
OX243811.1_t_gene711_mRNA974	OX243811.1_38964390-38970170
OX243811.1_t_gene717_mRNA981	OX243811.1_39417785-39423277
OX243811.1_t_gene720_mRNA984	OX243811.1_39643413-39650690
OX243811.1_t_gene724_mRNA988	OX243811.1_39885593-39916704
OX243811.1_t_gene725_mRNA989	OX243811.1_40274259-40286029
OX243811.1_t_gene726_mRNA990	OX243811.1_40408973-40439533
OX243811.1_t_gene727_mRNA991	OX243811.1_40472428-40478466
OX243811.1_t_gene729_mRNA993	OX243811.1_40535114-40549095
OX243811.1_t_gene732_mRNA997	OX243811.1_40707477-40712633
OX243811.1_t_gene736_mRNA1002	OX243811.1_41134793-41142749
OX243811.1_t_gene737_mRNA1003	OX243811.1_41214931-41226280
OX243811.1_t_gene739_mRNA1005	OX243811.1_41289912-41296016
OX243811.1_t_gene741_mRNA1007	OX243811.1_41341614-41347714
OX243811.1_t_gene743_mRNA1009	OX243811.1_41552416-41557636
OX243811.1_t_gene746_mRNA1012	OX243811.1_41659455-41665591
OX243811.1_t_gene748_mRNA1014	OX243811.1_41677270-41684535
OX243811.1_t_gene749_mRNA1015	OX243811.1_41701955-41709153
OX243811.1_t_gene750_mRNA1016	OX243811.1_41709154-41713476
OX243811.1_t_gene753_mRNA1019	OX243811.1_41759207-41775776
OX243811.1_t_gene755_mRNA1021	OX243811.1_41840576-41845655
OX243811.1_t_gene757_mRNA1024	OX243811.1_41885073-41890829
OX243811.1_t_gene763_mRNA1030	OX243811.1_41959643-41966563
OX243811.1_t_gene764_mRNA1031	OX243811.1_41977494-41985280
OX243811.1_t_gene765_mRNA1032	OX243811.1_41985281-41989045
OX243811.1_t_gene766_mRNA1033	OX243811.1_41991556-42001206
OX243811.1_t_gene767_mRNA1034	OX243811.1_42003428-42012195
OX243811.1_t_gene768_mRNA1035	OX243811.1_42091660-42112748
OX243811.1_t_gene773_mRNA1040	OX243811.1_42540410-42545917
OX243811.1_t_gene775_mRNA1042	OX243811.1_42583483-42589791
OX243811.1_t_gene776_mRNA1043	OX243811.1_42703170-42708127
OX243811.1_t_gene781_mRNA1048	OX243811.1_42828009-42839441
OX243811.1_t_gene784_mRNA1052	OX243811.1_42927675-42934949
OX243811.1_t_gene785_mRNA1053	OX243811.1_42941518-42946977
OX243811.1_t_gene787_mRNA1055	OX243811.1_43016582-43028485
OX243811.1_t_gene788_mRNA1056	OX243811.1_43133146-43140438
OX243811.1_t_gene790_mRNA1058	OX243811.1_43261742-43267544
OX243811.1_t_gene791_mRNA1059	OX243811.1_43284933-43296763
OX243811.1_t_gene794_mRNA1062	OX243811.1_43486685-43513527
OX243811.1_t_gene795_mRNA1063	OX243811.1_43548316-43555158
OX243811.1_t_gene796_mRNA1064	OX243811.1_43561010-43569967
OX243811.1_t_gene800_mRNA1068	OX243811.1_44043022-44052771
OX243811.1_t_gene801_mRNA1069	OX243811.1_44062772-44069243
OX243811.1_t_gene802_mRNA1071	OX243811.1_44091782-44096935
OX243811.1_t_gene806_mRNA1077	OX243811.1_44236454-44248643
OX243811.1_t_gene807_mRNA1078	OX243811.1_44257072-44264147
OX243811.1_t_gene810_mRNA1081	OX243811.1_44287432-44306627
OX243811.1_t_gene813_mRNA1085	OX243811.1_44335472-44345496
OX243811.1_t_gene816_mRNA1089	OX243811.1_44621660-44634698
OX243811.1_t_gene817_mRNA1090	OX243811.1_44787712-44792700
OX243811.1_t_gene819_mRNA1093	OX243811.1_44880723-44888238
OX243811.1_t_gene820_mRNA1094	OX243811.1_44892292-44897883
OX243811.1_t_gene821_mRNA1095	OX243811.1_44905929-44911520
OX243811.1_t_gene822_mRNA1096	OX243811.1_44912053-44917635
OX243811.1_t_gene823_mRNA1097	OX243811.1_44919244-44924039
OX243811.1_t_gene827_mRNA1101	OX243811.1_45196599-45205110
OX243811.1_t_gene829_mRNA1103	OX243811.1_45272929-45280095
OX243811.1_t_gene830_mRNA1104	OX243811.1_45314255-45329175
OX243811.1_t_gene831_mRNA1105	OX243811.1_45349949-45355927
OX243811.1_t_gene834_mRNA1108	OX243811.1_45521425-45526149
OX243811.1_t_gene835_mRNA1109	OX243811.1_45537207-45554027
OX243811.1_t_gene836_mRNA1110	OX243811.1_45583528-45589494
OX243811.1_t_gene837_mRNA1111	OX243811.1_45712296-45716962
OX243811.1_t_gene838_mRNA1112	OX243811.1_45752084-45756967
OX243811.1_t_gene840_mRNA1118	OX243811.1_45818611-45824208
OX243811.1_t_gene845_mRNA1123	OX243811.1_46080505-46101084
OX243811.1_t_gene847_mRNA1125	OX243811.1_46114293-46121770
OX243811.1_t_gene848_mRNA1126	OX243811.1_46124861-46130064
OX243811.1_t_gene849_mRNA1127	OX243811.1_46130065-46135312
OX243811.1_t_gene852_mRNA1130	OX243811.1_46264743-46269729
OX243811.1_t_gene853_mRNA1131	OX243811.1_46296402-46329615
OX243811.1_t_gene855_mRNA1133	OX243811.1_46532593-46541586
OX243811.1_t_gene856_mRNA1134	OX243811.1_46639663-46652614
OX243811.1_t_gene863_mRNA1151	OX243811.1_47054133-47070799
OX243811.1_t_gene864_mRNA1152	OX243811.1_47087681-47092875
OX243811.1_t_gene865_mRNA1156	OX243811.1_47196155-47205496
OX243811.1_t_gene867_mRNA1160	OX243811.1_47321514-47326538
OX243811.1_t_gene868_mRNA1161	OX243811.1_47372353-47377905
OX243811.1_t_gene869_mRNA1162	OX243811.1_47381275-47384710
OX243811.1_t_gene873_mRNA1166	OX243811.1_47543055-47548642
OX243811.1_t_gene879_mRNA1174	OX243811.1_47706244-47713960
OX243811.1_t_gene880_mRNA1175	OX243811.1_47756342-47762748
OX243811.1_t_gene881_mRNA1176	OX243811.1_47864921-47897131
OX243811.1_t_gene884_mRNA1179	OX243811.1_48317851-48325917
OX243811.1_t_gene886_mRNA1183	OX243811.1_48472136-48480877
OX243811.1_t_gene889_mRNA1186	OX243811.1_48789147-48796499
OX243811.1_t_gene890_mRNA1187	OX243811.1_48841869-48855607
OX243811.1_t_gene894_mRNA1197	OX243811.1_49055484-49063715
OX243811.1_t_gene895_mRNA1199	OX243811.1_49072577-49076202
OX243811.1_t_gene897_mRNA1201	OX243811.1_49091430-49112247
OX243811.1_t_gene901_mRNA1205	OX243811.1_49239694-49245036
OX243811.1_t_gene903_mRNA1208	OX243811.1_49351483-49357770
OX243811.1_t_gene904_mRNA1209	OX243811.1_49412284-49432194
